Date,Day,Month,CO,NO2,O3,PM25,Season,Season_Code,AQHI_PreviousDay,AQHI,AQHI_NextDay
2023-09-15,15,9,0.175,7.333333333333333,18.25,5.708333333333333,Fall,3,1.1328405964107207,1.8331631292296517,1.4321018331013833
2023-09-16,16,9,0.175,3.5,18.125,4.208333333333333,Fall,3,1.8331631292296517,1.4321018331013833,2.161741077208112
2023-09-17,17,9,0.175,6.666666666666666,24.166666666666668,7.333333333333334,Fall,3,1.4321018331013833,2.161741077208112,2.1810452466839307
2023-09-18,18,9,0.175,7.166666666666667,23.75,7.333333333333334,Fall,3,2.161741077208112,2.1810452466839307,1.2317986753491807
2023-09-19,19,9,0.175,2.708333333333333,16.916666666666668,2.7083333333333335,Fall,3,2.1810452466839307,1.2317986753491807,1.3596585131866317
2023-09-20,20,9,0.175,4.125,17.458333333333332,2.2916666666666665,Fall,3,1.2317986753491807,1.3596585131866317,1.9385376061778934
2023-09-21,21,9,0.175,10.875,15.75,4.375,Fall,3,1.3596585131866317,1.9385376061778934,2.6660746032909177
2023-09-22,22,9,0.175,17.5,14.833333333333334,8.833333333333334,Fall,3,1.9385376061778934,2.6660746032909177,2.5311868543548703
2023-09-23,23,9,0.175,11.375,17.208333333333332,14.416666666666668,Fall,3,2.6660746032909177,2.5311868543548703,1.8747778635280283
2023-09-24,24,9,0.175,4.125,21.166666666666668,9.125,Fall,3,2.5311868543548703,1.8747778635280283,1.8690604608047974
2023-09-25,25,9,0.175,4.625,19.625,9.833333333333334,Fall,3,1.8747778635280283,1.8690604608047974,1.8095314008785048
2023-09-26,26,9,0.175,9.083333333333334,14.25,6.5,Fall,3,1.8690604608047974,1.8095314008785048,2.407587956584188
2023-09-27,27,9,0.175,14.041666666666668,12.583333333333334,12.125,Fall,3,1.8095314008785048,2.407587956584188,2.7464513968341455
2023-09-28,28,9,0.175,17.25,8.583333333333332,17.958333333333332,Fall,3,2.407587956584188,2.7464513968341455,2.7870329395966276
2023-09-29,29,9,0.175,15.166666666666666,11.416666666666666,19.458333333333332,Fall,3,2.7464513968341455,2.7870329395966276,3.3287887774691103
2023-09-30,30,9,0.175,13.708333333333334,22.708333333333336,21.041666666666668,Fall,3,2.7870329395966276,3.3287887774691103,2.4210295999029894
2023-10-01,1,10,0.175,8.625,21.875,11.875,Fall,3,3.3287887774691103,2.4210295999029894,2.418235203877596
2023-10-02,2,10,0.175,13.541666666666666,18.583333333333332,6.625,Fall,3,2.4210295999029894,2.418235203877596,3.0698245209126798
2023-10-03,3,10,0.175,11.958333333333332,30.0,10.583333333333334,Fall,3,2.418235203877596,3.0698245209126798,3.4384102254266393
2023-10-04,4,10,0.175,12.75,35.333333333333336,10.958333333333334,Fall,3,3.0698245209126798,3.4384102254266393,3.0469751630257855
2023-10-05,5,10,0.175,7.333333333333333,39.541666666666664,7.791666666666667,Fall,3,3.4384102254266393,3.0469751630257855,2.3456269822235876
2023-10-06,6,10,0.175,5.0,32.833333333333336,4.583333333333334,Fall,3,3.0469751630257855,2.3456269822235876,2.2102675315430065
2023-10-07,7,10,0.175,4.916666666666667,31.583333333333332,3.25,Fall,3,2.3456269822235876,2.2102675315430065,1.5545986649537158
